BarName,Area,beerRating,cocktailsRating,foodRating,decorRating,parkingRating,proximityRating,noiseRating,patioRating,groupsRating,serviceRating,priceRating,Address,PhoneNumber,YelpWebsite,Website
Mongoose vs Cobra,Mid,4,5,4,3,2,3,3,1,3,4,3,"1011 McGowen St, Houston, TX 77002",(713) 650-6872,http://www.yelp.com/biz/mongoose-versus-cobra-houston,http://mongooseversuscobra.com/
Double Trouble,Mid,3,4,3,3,2,3,3,2,3,3,3,"3622 Main St, Houston, TX 77006",(713) 874-0096,http://www.yelp.com/biz/double-trouble-caffeine-and-cocktails-houston,http://www.doubletroublehouston.com/
Boheme,Montrose,3,3,3,3,3,3,2,4,4,3,4,"307 Fairview St, Houston, TX 77006",(713) 529-1099,http://www.yelp.com/biz/boheme-houston-2,http://www.barboheme.com/home
Anvil,Montrose,3,5,3,3,2,3,2,1,2,3,3,"1424 Westheimer Rd, Houston, TX 77006",(713) 523-1622,http://www.yelp.com/biz/anvil-bar-and-refuge-houston,http://www.anvilhouston.com/
La Grange,Montrose,3,3,3,4,2,3,3,4,3,3,3,"2517 Ralph St, Houston, TX 77006",(832) 962-4745,http://www.yelp.com/biz/la-grange-houston-3,http://lagrangehouston.com/
Local Pour,Montrose,4,4,,3,3,2,2,2,4,3,3,"1952 W Gray St, Houston, TX 77019",(713) 521-1881,http://www.yelp.com/biz/local-pour-houston-houston,http://www.localpourhouston.com/
Poison Girl,Montrose,3,3,0,3,2,2,3,3,2,3,4,"1641 Westheimer Rd suite B, Houston, TX 77006",(713) 527-9929,http://www.yelp.com/biz/poison-girl-houston,https://twitter.com/poisongirlbar
Rosemont,Montrose,2,4,0,4,2,2,2,4,3,4,2,"910 Westheimer Rd, Houston, TX 77006",(832) 530-4698,http://www.yelp.com/biz/rosemont-social-club-houston,http://rosemonthouston.com/
Lola's Depot,Montrose,3,2,0,3,2,3,3,3,3,3,4,"2327 Grant St, Houston, TX 77006",(713) 528-8342,http://www.yelp.com/biz/lolas-depot-houston,http://www.montrosebars.com/Lolas-Depot.html
Pistoleros,Montrose,3,2,3,3,4,3,3,2,3,3,3,"1517 Westheimer Rd, Houston, TX 77006",(281) 974-3860,http://www.yelp.com/biz/pistoleros-houston,http://pistoleroshouston.com/
The FLAT,Montrose,3,3,0,3,2,2,2,3,3,3,3,"1701 Commonwealth St, Houston, TX 77006",(713) 360-7228,http://www.yelp.com/biz/the-flat-houston,http://theflathouston.com/
Rudyards,Montrose,3,2,4,3,2,2,3,1,3,3,3,"2010 Waugh Dr, Houston, TX 77006",(713) 521-0521,http://www.yelp.com/biz/rudyards-british-pub-houston-4,http://rudyardspub.com/
The Hay Merchant,Montrose,4,0,3,2,2,3,2,3,2,3,3,"1100 Westheimer Rd, Houston, TX 77006",(713) 528-9805,http://www.yelp.com/biz/the-hay-merchant-houston,https://www.haymerchant.com/
Underdogs,Wash,5,3,0,3,3,3,3,3,4,5,4,"4212 Washington Ave, Houston, TX 77007",(713) 410-5660,http://www.yelp.com/biz/underdogs-pub-houston,https://www.facebook.com/underdogssportspub
Ladybirds,Wash,4,3,3,4,4,2,3,4,4,3,4,"5519 Allen St, Houston, TX 77007",(713) 393-7647,http://www.yelp.com/biz/ladybirds-houston,http://www.ladybirdsbar.com/
Julep,Wash,2,4,0,3,3,2,3,3,2,4,3,"1919 Washington Ave, Houston, TX 77007",(713) 869-4383,http://www.yelp.com/biz/julep-houston,http://www.julephouston.com/
Liberty Station,Wash,4,3,4,2,2,2,2,4,4,3,3,"2101 Washington Ave, Houston, TX 77007",(713) 640-5220,http://www.yelp.com/biz/liberty-station-houston,http://libertystationbar.com/
Kung Fu,Wash,4,2,2,3,2,3,1,2,3,2,4,"5317 Washington Ave, Houston, TX 77007",(713) 864-0642,http://www.yelp.com/biz/kung-fu-saloon-houston,http://www.kungfusaloonhouston.com/
