BarName,Area,beerRating,cocktailsRating,foodRating,decorRating,parkingRating,proximityRating,noiseRating,patioRating,groupsRating,serviceRating,priceRating,Address,PhoneNumber,YelpWebsite,Website,Description,Image
Beer Market Co,Washington,5,3,4,4,5,2,4,3,4,4,5,"920 Studemont St #900, Houston, TX 77007",(713) 426-9035,http://www.yelp.com/biz/beer-market-co-houston,http://www.beermarketco.com/,Hundreds of beers are paired with creative bar bites at this casual spot with craft drinks & TVs,http://images2.houstonpress.com/imager/u/original/7427186/10100470.0.jpg
Big Star Bar,Heights,2,1,0,1,3,2,5,1,4,2,4,"1005 W 19th St, Houston, TX 77008",(281) 501-9560,http://www.yelp.com/biz/big-star-bar-houston,http://bigstarbar.com/,"Low-key watering hole with a jukebox, extensive outdoor area with fire pits & picnic tables",http://www.theleadernews.com/wp-content/uploads/2014/06/DSC_3577.jpg
Boheme,Montrose,2,4,4,4,3,2,3,5,4,4,4,"307 Fairview St, Houston, TX 77006",(713) 529-1099,http://www.yelp.com/biz/boheme-houston-2,http://www.barboheme.com/home,"Montrose bar with artsy vibe offers wine, cocktails, thin-crust pizzas & plenty of outdoor seating","http://res.cloudinary.com/sagacity/image/upload/c_crop,h_427,w_640,x_0,y_0/c_scale,w_1080/v1417036613/1214-best-bars-boheme_oetbal.jpg"
Boondocks,Montrose,2,1,0,1,1,4,1,2,2,1,2,"1417 Westheimer Rd, Houston, TX 77006",(713) 522-8500,http://www.yelp.com/biz/boondocks-houston,https://www.facebook.com/boondockshtx/,"No-frills neighborhood hangout with a patio featuring live music, DJs, karaoke & bars on 2 floors",http://ww1.hdnux.com/photos/05/03/31/1324620/3/920x920.jpg
Bovine & Barley,Downtown,3,3,3,4,2,4,3,2,3,3,2,"416 Main St, Houston, TX 77002",(832) 742-5683,http://www.yelp.com/biz/bovine-and-barley-houston,http://www.bovineandbarley.com/,Cocktails & beer on tap are complemented by a meat-heavy menu at this bi-level bar,https://cdn1.vox-cdn.com/thumbor/69fKo7A0f047ujETUVnX8Yyv77M=/0x48:960x588/1310x737/cdn0.vox-cdn.com/uploads/chorus_image/image/46082050/bovine_barley_interior_houston.0.0.jpg
Catbirds,Montrose,3,4,0,4,1,4,3,3,2,2,4,"1336 Westheimer Rd, Houston, TX 77006",(713) 523-8000,http://www.yelp.com/biz/catbirds-houston,http://catbirds.com/,"Unassuming hangout with daily happy hour specials, trivia nights & DJs spinning jazz on weekends",https://greatbarsandmusic.files.wordpress.com/2011/10/cbk1.jpg
Cedar Creek,Heights,4,2,4,3,3,2,4,5,5,3,4,"1034 W 20th St, Houston, TX 77008",(713) 808-9623,http://www.yelp.com/biz/cedar-creek-houston,http://www.cedarcreekcafe.com/,"Laid-back restaurant showcasing sandwiches, drinks & more in a funky setting with an outdoor patio",http://www.theleadernews.com/wp-content/uploads/2013/09/0928_creeks_spotlight-cedar.jpg
Cellar Bar,RiverOaks,3,3,3,3,3,2,3,2,3,4,3,"3140 Richmond Ave, Houston, TX 77098",(713) 528-6435,http://www.yelp.com/biz/the-cellar-bar-houston,http://thecellarbar.org/,"Local haunt for watching football, drinking adult beverages & playing games of pool & foosball",http://s3-media1.fl.yelpcdn.com/bphoto/3mh5uASgt0hb3Aih7tciOg/o.jpg
Cottonwood,Heights,4,2,4,5,5,2,5,5,5,2,3,"3422 N Shepherd Dr, Houston, TX 77018",(713) 802-0410,http://www.yelp.com/biz/cottonwood-houston-2,http://www.cottonwoodhouston.com/,"Hearty plates of upscale pub fare are served in easygoing, industrial-chic digs with a jumbo patio",http://ww1.hdnux.com/photos/20/46/40/4352020/3/rawImage.jpg
Crisp,Heights,4,1,5,3,4,2,3,4,4,4,3,"2220 Bevis St, Houston, TX 77008",(713) 360-0222,http://www.yelp.com/biz/crisp-heights-houston,http://www.crisphouston.com/,"Gastropub featuring craft beer & wine on tap, updated comfort foods & extensive to-go service",https://cdn3.vox-cdn.com/thumbor/vMq6etYZR-4nerdHJYWhaXSXU6k=/0x0:1024x576/1600x900/cdn0.vox-cdn.com/uploads/chorus_image/image/39027240/1204CrispLarge01.0.0.jpg
Darwin's Theory,Washington,2,2,3,3,3,2,4,4,5,3,4,"33 Waugh Dr, Houston, TX 77007",(713) 444-8895,http://www.yelp.com/biz/darwins-theory-houston-3,http://darwinstheoryhouston.com/,Texas draft brews & casual eats in a laid-back local bar filled with street art & retro games,https://isanchez1105.files.wordpress.com/2014/07/img_8823.jpg
D&T Drive Inn,Heights,4,0,4,3,4,1,5,4,4,4,2,"1307 Enid St, Houston, TX 77009",(713) 868-6165,http://www.yelp.com/biz/d-and-t-drive-inn-houston,http://treadsack.com/dtdriveinn/,Beer garden tables outfit this casual setup for carefully selected craft brews & jukebox tunes,https://www.drinkadvisor.com/cache/e/e0096f90c9f22d4dfe387da6b1901923_1500_1390221463.jpg
Davenport Lounge,RiverOaks,1,4,0,1,2,1,4,0,2,4,1,"2115 Richmond Ave, Houston, TX 77098",(281) 888-1226,http://www.yelp.com/biz/the-davenport-houston-2,http://thedavenportlounge.com/,"Stylish lounge features 30+ specialty martinis, cocktails & regular DJ nights in a modern interior",http://ww1.hdnux.com/photos/42/51/73/9084612/3/920x920.jpg
Deans,Downtown,3,4,0,4,2,5,2,1,4,3,3,"316 Main St, Houston, TX 77002",(832) 564-0918,http://www.yelp.com/biz/deans-downtown-houston,http://deansdowntown.com/,"Lounge serving old-fashioned cocktails & craft beer in a cozy, stylish space with weekly live music",http://theseventhward.com/wp-content/uploads/2014/05/Deans-Credit-Clothing.jpg
Double Trouble,Midtown,2,4,0,3,2,3,3,2,2,4,3,"3622 Main St, Houston, TX 77006",(713) 874-0096,http://www.yelp.com/biz/double-trouble-caffeine-and-cocktails-houston,http://www.doubletroublehouston.com/,"Chill, trendy spot with chic design elements offering gourmet coffee alongside artisanal cocktails",http://4.bp.blogspot.com/-qXgfyaG5meA/VF7OwuirjuI/AAAAAAAABDw/X6sLeUKHAW0/s1600/DT5.jpg
Down House,Heights,3,4,5,3,3,1,3,3,1,3,1,"1801 Yale St, Houston, TX 77008",(713) 864-3696,http://www.yelp.com/biz/down-house-houston,http://treadsack.com/downhouse/,A locavore-friendly bar & eatery serving eclectic food & drink menus in a chill space with couches,http://media.culturemap.com/crop/f4/35/800x600/Down-House-Houston-restaurant-customers_140432.jpg
Down the Street,Heights,4,3,4,4,3,1,4,4,4,3,2,"5746 Larkin St, Houston, TX 77007",(713) 880-3508,http://www.yelp.com/biz/down-the-street-houston,http://www.downthestreethouston.com/,"Chic new bar nestled in Cottage Grove featuring craft beers, cocktails, and bar fare to enjoy on a cozy patio",http://images2.houstonpress.com/imager/u/original/7427536/10114759.0.jpg
El Big Bad,Downtown,2,2,3,4,2,3,2,4,4,3,2,"419 Travis St, Houston, TX 77002",(713) 229-8181,http://www.yelp.com/biz/el-big-bad-houston,http://www.elbigbad.com/,"Bi-level bar & cantina serving a host of tequilas, margaritas & Mexican eats in a muraled setting",http://media.culturemap.com/crop/58/a1/800x600/El-Big-Bad-bar-interior-crowd_120646.jpg
Flying Saucer,Downtown,5,0,4,4,2,3,2,2,4,5,4,"705 Main St, Houston, TX 77002",(713) 228-9472,http://www.yelp.com/biz/flying-saucer-draught-emporium-houston-2,http://www.beerknurd.com/stores/houston/,Vast selection of domestic & international brews paired with pub grub amidst eclectic decor,http://downtownhouston.org/site_media/uploads/photos/2010-02-15/flyingsaucer02_800x600.jpg
Captain Foxhearts,Downtown,3,5,0,4,2,5,3,5,4,4,2,"308 Main St, Houston, TX 77002",(718) 387-6962,http://www.yelp.com/biz/captain-foxhearts-bad-news-bar-and-spirit-lodge-houston,https://www.facebook.com/BadNewsBar/,Comfy neighborhood bar teaming its booze with an upstairs patio offering urban vistas,http://andrewzimmern.com/wp-content/uploads/2015/06/Captain-Foxhearts.jpg
Front Porch Pub,Midtown,3,1,3,3,2,4,3,2,4,2,3,"217 Gray St, Houston, TX 77002",(713) 571-9571,http://www.yelp.com/biz/front-porch-pub-houston,http://www.frontporchpub.com/,"Beers, hearty pub food, pool, darts & a jukebox are the draws at this spot with a front-porch swing",http://s3-media3.fl.yelpcdn.com/bphoto/fMDQN4B_nColriZnqfQswg/o.jpg
Ginger Man,Rice,5,0,2,3,2,4,3,3,3,3,2,"5607 Morningside Dr, Houston, TX 77005",(713) 526-2770,http://www.yelp.com/biz/the-ginger-man-houston,http://thegingerman.com/houston/,Texan chain of pubs featuring over 100 draft beers from around the globe as well as outdoor seating,http://api.ning.com/files/oubSTEQfPRmIYpXfA-X42-7CWajjPzKS9AwJl*5-PibJ9C0JsO1L3cCUt4k6m0jPCY1PJWTCiPPucbRd9OkOaX1j3wCbb0c9/Bar_1_Ginger_Man.jpg
Grand Prize,Rice,3,3,3,2,2,1,1,4,4,2,4,"1010 Banks St, Houston, TX 77006",(713) 526-4565,http://www.yelp.com/biz/grand-prize-bar-houston,https://www.facebook.com/Grand-Prize-Bar-139353646088917/,Welcoming haunt in a 2-story house lures hipsters with craft cocktails & a cool but easygoing feel,http://ww2.hdnux.com/photos/14/02/42/3156113/3/920x920.jpg
Henke & Pillot,Downtown,4,4,4,4,2,5,3,1,4,4,5,"809 Congress Ave, Houston, TX 77002",(713) 222-0003,http://www.yelp.com/biz/henke-and-pillot-houston,http://henkeandpillot.com/,Chic gastropub serving a range of classic & modern cocktails along with creative bar fare,https://cdn1.vox-cdn.com/thumbor/obdTpquiMl4L1nswtBKCGYkXUIM=/34x0:872x471/1600x900/cdn0.vox-cdn.com/uploads/chorus_image/image/45216312/henke-and-pillot_interior.0.0.jpg
Honeymoon,Downtown,3,5,3,3,2,5,4,0,4,4,3,"300 Main St, Houston, TX 77002",(281) 846-6995,http://www.yelp.com/biz/the-honeymoon-cafe-and-bar-houston,http://thehoneymoonhtx.com/,"House-brewed beans, fancy espresso & cocktails are the draw at this NOLA-inspired coffee shop & bar",http://thehoneymoonhtx.com/wp-content/uploads/2015/11/Honeymoon_Interior.jpg
Houston Watch Co,Downtown,1,3,0,4,2,4,4,0,2,4,3,"913 Franklin St, Houston, TX 77002",(713) 485-0006,http://www.yelp.com/biz/houston-watch-co-houston-2,http://www.houstonwatchcompany.com/,"This former watch shop is now a quaint, 2-level cocktail bar in the lobby of the Bayou Lofts",http://s3-media1.fl.yelpcdn.com/bphoto/cILQvIfA1DLKY8xFUiut5g/o.jpg
Irish Pub Kenneally's,RiverOaks,3,3,3,2,2,2,3,3,3,3,4,"2111 S Shepherd Dr, Houston, TX 77019",(713) 630-0486,http://www.yelp.com/biz/kenneallys-irish-pub-houston-2,http://www.irishpubkenneallys.com/,Longtime pub with a patio featuring draft beer & bar bites such as thin-crust pizza in casual digs,http://vp.cdn.cityvoterinc.com/GetImage.ashx?img=00/00/01/26/74/73/1267473-2356329.jpg
Johnny's Gold Brick,Heights,2,4,0,4,4,2,2,2,2,5,5,"2518 Yale St, Houston, TX 77008",(713) 864-2424,http://www.yelp.com/biz/johnnys-gold-brick-houston-2,http://treadsack.com/johnnys/,Cozy space featuring Houston oak throughout is a go-to for classic cocktails & tunes,https://cdn2.vox-cdn.com/thumbor/Aj7-iP26a6o4XuA4kly0CVgmYN8=/0x91:960x631/1600x900/cdn0.vox-cdn.com/uploads/chorus_image/image/45869274/Johnnys_Gold_Brick_interior_Houston-2-2.0.0.jpg
Julep,Washington,1,4,3,3,3,2,4,3,1,3,3,"1919 Washington Ave, Houston, TX 77007",(713) 869-4383,http://www.yelp.com/biz/julep-houston,http://www.julephouston.com/,Down-home cocktail bar with a roster of cocktails from the South & a laid-back vibe to match,https://cdn1.vox-cdn.com/thumbor/Vbj67kFdY_3HzGPS41CiSHkC50o=/899x600/cdn0.vox-cdn.com/uploads/chorus_asset/file/719634/14660613197_d5a7d78a0d_z.0.jpg
Karbach Brewing Co,Heights,4,0,4,3,1,1,2,4,5,3,4,"2032 Karbach St, Houston, TX 77092",(713) 680-2739,http://www.yelp.com/biz/karbach-brewing-houston,http://www.karbachbrewing.com/,"German-style brewery featuring tours, a gift shop & a restaurant serving a gastropub-style menu",http://ww2.hdnux.com/photos/25/21/36/5576581/7/rawImage.jpg
Kay's Lounge,Rice,3,1,0,3,2,2,3,3,4,3,4,"2324 Bissonnet St, Houston, TX 77005",(713) 528-9858,http://www.yelp.com/biz/kays-lounge-houston,https://www.facebook.com/Kayshoustontx/,"Relaxed, low-key hangout featuring a Texas-shaped table, pool tables & tunes from a jukebox",http://ww2.hdnux.com/photos/20/07/11/4223601/3/rawImage.jpg
Kelvin Arms,Rice,4,4,0,5,3,3,3,3,3,3,2,"2424 Dunstan Rd, Houston, TX 77005",(713) 528-4739,http://www.yelp.com/biz/kelvin-arms-houston,http://www.kelvinarmspub.com/,Scottish pub & lounge located inside a former bank vault offering a large beer & scotch selection,https://assets3.thrillist.com/v1/image/1624738/size/tmg-facebook_share
Komodo Pub,Midtown,2,1,1,3,1,4,4,2,3,2,3,"2004 Baldwin St, Houston, TX 77002",(713) 655-1501,http://www.yelp.com/biz/komodos-pub-houston,https://www.facebook.com/Komodos-Pub-209464465456/,A house converted into a bar with cozy spaces to enjoy a drink with your date,http://ww2.hdnux.com/photos/05/03/31/1324629/3/920x920.jpg
Kung Fu,Washington,4,1,3,3,2,2,1,2,4,2,3,"5317 Washington Ave, Houston, TX 77007",(713) 864-0642,http://www.yelp.com/biz/kung-fu-saloon-houston,http://www.kungfusaloonhouston.com/,"Hip bar with a kung fu movie theme, plus vintage video games, Skee-Ball & private karaoke rooms",http://2.bp.blogspot.com/--nr0jcxPyp4/VRF6bbd-nPI/AAAAAAAAAhE/xfSOxXM5OlU/s1600/297710_229798510412203_1210269717_n.jpg
La Carafe,Downtown,3,2,0,1,2,5,3,4,1,3,4,"813 Congress Ave, Houston, TX 77002",(713) 229-9399,http://www.yelp.com/biz/la-carafe-houston,http://www.owlnet.rice.edu/~hans320/projects/lacarafe/building.html,Candlelit place for sipping wine & ghost hunting inside the oldest commercial building in Houston,http://willsononline.com/closetohome/houston/LaCarafe/Inside2.jpg
La Grange,Montrose,2,3,3,5,2,4,3,5,4,2,2,"2517 Ralph St, Houston, TX 77006",(832) 962-4745,http://www.yelp.com/biz/la-grange-houston-3,http://lagrangehouston.com/,"Expansive patio bar offering regional Mexican & Tex-Mex dishes, plus craft beers & cocktails",http://images1.houstonpress.com/imager/u/original/7735292/houston-press-la-grange-bar-troy_fields.jpg
Ladybirds,Washington,4,3,3,4,4,1,4,4,4,4,4,"5519 Allen St, Houston, TX 77007",(713) 393-7647,http://www.yelp.com/biz/ladybirds-houston,http://www.ladybirdsbar.com/,"Family-owned watering hole offering craft brews & specialty cocktails, plus a spacious patio",http://s3-media4.fl.yelpcdn.com/bphoto/emXnaPJ1Tpfg9QOho7x6YA/o.jpg
Lei Low,Heights,2,4,0,3,3,2,3,2,3,5,4,"6412 N Main St, Houston, TX 77009",(713) 380-2968,http://www.yelp.com/biz/lei-low-houston,http://leilowhtx.com/,"Mellow local tiki bar pairing imaginative, rum-filled cocktails with a vibrant Polynesian decor",https://cdn2.vox-cdn.com/thumbor/x1eTnVz8ls4cxpP89G_3NVh0n3U=/0x42:800x492/1600x900/cdn0.vox-cdn.com/uploads/chorus_image/image/38692258/12782739635_5e4ef0195c_c.0.0.jpg
Liberty Station,Washington,4,2,4,2,2,2,3,4,4,3,3,"2101 Washington Ave, Houston, TX 77007",(713) 640-5220,http://www.yelp.com/biz/liberty-station-houston,http://libertystationbar.com/,Laid-back neighborhood bar with a huge patio featuring beers on tap in a converted gas station,http://media.culturemap.com/crop/fc/83/800x600/Liberty_Station_bar_JS.jpg
Little Dipper,Downtown,3,3,0,2,2,5,3,1,2,2,2,"304 Main St, Houston, TX 77002",(713) 223-0107,http://www.yelp.com/biz/little-dipper-lounge-houston,https://www.facebook.com/pages/Little-Dipper/534899929937191,Whimsical local watering hole partnering its drinks with DJ beats & a comfortable setting,http://downtownhouston.org/site_media/uploads/photos/2013-12-20/Little-Dipper_web_800x600.jpg
Local Pour,RiverOaks,5,3,5,4,4,2,1,1,4,3,3,"1952 W Gray St, Houston, TX 77019",(713) 521-1881,http://www.yelp.com/biz/local-pour-houston-houston,http://www.localpourhouston.com/,"Upscale bar & grill serving a mostly locally sourced menu & drinks, with live music or DJ Tues-Sat",https://cdn3.vox-cdn.com/thumbor/gPQ3JK8pz1Lv7ciBowqqKbbfODQ=/0x50:960x590/1600x900/cdn0.vox-cdn.com/uploads/chorus_image/image/46036194/local_pour_the_woodlands_houston_facebook.0.0.jpg
Lola's Depot,Montrose,2,1,0,1,3,2,4,3,5,3,5,"2327 Grant St, Houston, TX 77006",(713) 528-8342,http://www.yelp.com/biz/lolas-depot-houston,http://www.montrosebars.com/Lolas-Depot.html,Divey bar located in Montrose serving beer and well drinks at dirt cheap prices,http://images1.houstonpress.com/imager/u/original/7598244/lolasdepot0717thumb-.jpg
Marfreless,RiverOaks,2,3,3,3,3,2,4,0,2,3,2,"2006 Peden St, Houston, TX 77019",(281) 630-6248,http://www.yelp.com/biz/marfreless-houston-2,http://www.marfrelesshouston.com/,"Hidden drink & chat lounge with unmarked blue-door entrance, eclectic decor & soft classical music",https://cdn2.vox-cdn.com/thumbor/Mz6ohARpQvrMTgIm6BTrhfP9LBA=/0x62:1200x737/1600x900/cdn0.vox-cdn.com/uploads/chorus_image/image/38702856/5DII_8497A.0.0.jpg
Mongoose vs Cobra,Midtown,5,5,3,4,2,3,3,1,3,3,3,"1011 McGowen St, Houston, TX 77002",(713) 650-6872,http://www.yelp.com/biz/mongoose-versus-cobra-houston,http://mongooseversuscobra.com/,An extensive selection of small-batch beers & spirits served in industrial-looking digs,http://gallivant.com/p/2013/08/mongoose-cobra-1.jpg
Moonshiners,Downtown,2,3,4,4,2,4,3,1,3,3,3,"1000 Prairie St, Houston, TX 77002",(713) 226-7717,http://www.yelp.com/biz/the-moonshiners-southern-table-bar-houston-2,http://www.themoonshinershouston.com/,"Rustic bar & eatery known for its moonshine & whiskey cocktails, plus Southern comfort fare",https://s3-media2.fl.yelpcdn.com/bphoto/Hn5Sv0wO8q8lrdg2m1W4ZA/o.jpg
Moon Tower Inn,Downtown,5,0,5,3,3,1,5,5,4,3,3,"3004 Canal St, Houston, TX 77003",(832) 969-1934,http://www.yelp.com/biz/moon-tower-inn-houston,http://damngoodfoodcoldassbeer.com/,Game-meat & specialty hot dogs star at this relaxed outdoor brewpub,http://s3-media4.fl.yelpcdn.com/bphoto/tv-SstDKok4XX07WFGRA5w/o.jpg
Moving Sidewalk,Downtown,2,5,0,2,2,5,2,1,1,4,4,"306 Main St, Houston, TX 77002",Not Available,http://www.yelp.com/biz/moving-sidewalk-houston-2,http://www.movingsidewalkbar.com/,Chandeliers add an intimate glow to this craft-cocktail bar known for inventive mixed drinks,http://365thingsinhouston.com/wp-content/uploads/2014/10/moving-sidewalk-bar-downtown-houston.jpg
Neils Bahr,Downtown,3,3,2,3,2,2,4,2,3,4,4,"2006 Walker St, Houston, TX 77003",(281) 352-7456,http://www.yelp.com/biz/neils-bahr-houston,http://neilsbahr.com/,The ultimate geek bar for playing board and video games while enjoying a selection of rotating beers and craft cocktails,http://ww4.hdnux.com/photos/42/62/74/9121539/5/1024x1024.jpg
Nightingale Room,Downtown,3,3,0,3,2,5,1,0,2,3,2,"308 Main St, Houston, TX 77002",(832) 968-3370,http://www.yelp.com/biz/the-nightingale-room-houston-2,http://www.nightingaleroom.com/,"Cocktail bar & lounge with craft cocktails, vintage decor & an upstairs space for live acts",https://cdn3.vox-cdn.com/thumbor/OdS3dYT9PB8pAR7PwKxSpjrkGqg=/0x589:5616x3748/1600x900/cdn0.vox-cdn.com/uploads/chorus_image/image/44045922/the_nightingale_room_interior.0.0.jpg
notsuoH,Downtown,2,2,0,3,2,5,2,1,3,2,4,"314 Main St, Houston, TX 77002",(713) 409-4750,http://www.yelp.com/biz/notsuoh-houston,http://notsuoh.com/,"Quirky watering hole offering poetry readings, live music & performing artists with a funky vibe",http://ww2.hdnux.com/photos/05/03/31/1324621/3/920x920.jpg
Okra,Downtown,3,4,0,4,2,5,2,1,3,2,2,"924 Congress Ave, Houston, TX 77002",(713) 237-8828,http://www.yelp.com/biz/the-original-okra-charity-saloon-houston,http://friedokra.org/,Charitable co-op of industry vets serving light fare & drinks at a central bar in vintage loft digs,http://downtownhouston.org/site_media/uploads/photos/2013-12-20/Charity-Saloon_web_800x600.jpg
Onion Creek,Heights,3,2,4,2,3,3,4,3,3,3,3,"3106 White Oak Dr, Houston, TX 77007",(713) 880-0706,http://www.yelp.com/biz/onion-creek-houston,http://www.onioncreekcafe.com/,Casual breakfast & lunch eatery serving burgers & local beers inside or on the woodsy outdoor patio,http://images-74.har.com/e1/mediadisplay/74/hr3305074-18.jpg
Pastry War,Downtown,2,4,2,5,2,5,2,0,2,1,2,"310 Main St, Houston, TX 77002",Not Available,http://www.yelp.com/biz/the-pastry-war-houston,http://www.thepastrywar.com/,"Vibrant watering hole dispensing tequilas, mezcals & other beverages in a narrow space",https://cdn1.vox-cdn.com/thumbor/tH4sAAggQ0KDpldBBKiyJmIdHLA=/0x53:1024x629/1600x900/cdn0.vox-cdn.com/uploads/chorus_image/image/38849106/pwartastings.0.jpg
Petrol Station,Heights,4,0,4,3,3,2,4,4,3,4,2,"985 Wakefield Dr, Houston, TX 77018",(713) 957-2875,http://www.yelp.com/biz/petrol-station-houston,https://twitter.com/Petrol_Station,"Local hangout featuring a huge selection of craft brews, hearty pub grub & lots of outdoor tables",https://lh4.googleusercontent.com/-sauBMYmO-5w/U_OLxmST_OI/AAAAAAAEpR8/X9h5SHYT-Oo/w2048-h1365/
Pimlico Irish Pub,Montrose,3,2,2,2,2,1,3,4,4,3,4,"810 Waugh Dr #100, Houston, TX 77019",(713) 560-1721,http://www.yelp.com/biz/pimlico-irish-pub-houston,http://pimlicopub.com/,"Chill neighborhood sports pub offering an array of Irish & local brews, plus event nights & patios",http://images1.houstonpress.com/imager/u/original/7427412/9952803.0.jpg
Pistoleros,Montrose,2,2,4,3,3,4,4,2,3,3,4,"1517 Westheimer Rd, Houston, TX 77006",(281) 974-3860,http://www.yelp.com/biz/pistoleros-houston,http://pistoleroshouston.com/,Tacos & late-night nachos go with tequila cocktails & soccer matches on TV at this Mexican hangout,http://www.montrosecrawl.com/wp-content/uploads/2014/02/Pistoleros-Photo.jpg
Poison Girl,Montrose,3,3,0,2,1,3,2,4,2,2,4,"1641 Westheimer Rd suite B, Houston, TX 77006",(713) 527-9929,http://www.yelp.com/biz/poison-girl-houston,https://twitter.com/poisongirlbar,"Eclectic bar serving cocktails amidst red walls, female-inspired art & pinball machines",http://static.businessinsider.com/image/51bf3c4269bedd4039000005/image.jpg
Prohibition,Downtown,3,5,5,5,2,4,3,2,2,3,2,"1008 Prairie St, Houston, TX 77002",(281) 940-4636,http://www.yelp.com/biz/prohibition-supperclub-and-bar-houston,http://www.prohibitionhouston.com/,"Craft cocktails, American food & weekend burlesque shows are found at this ritzy 1920s-themed bar",http://www.prohibitionhouston.com/wp-content/uploads/2014/12/prohibition-4.jpg
Public House,Heights,3,3,3,3,3,4,4,2,3,4,4,"2802 White Oak Dr, Houston, TX 77007",(713) 880-2337,http://www.yelp.com/biz/public-house-heights-houston,http://publichouseheights.com/,Low-key neighborhood gathering place featuring local craft beers & a weekly grilled steak night,http://s3-media2.fl.yelpcdn.com/bphoto/WwD7fyUivpxrrhnh873Y2w/o.jpg
